superkingdom	phylum	order	family	genus	species	Strain	#Hits	Frequency (%)	class
Bacteria	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	Treponema pallidum	Treponema pallidum Nichols	753	0.7090529011845798	Spirochaetia
Bacteria	Tenericutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma pneumoniae	Mycoplasma pneumoniae M129	3645	3.4322680276464714	Mollicutes
Bacteria	Tenericutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma suis	Mycoplasma suis Illinois	1002	0.9435205936081659	Mollicutes
Bacteria	Actinobacteria	Catenulisporales	Catenulisporaceae	Catenulispora	Catenulispora acidiphila	Catenulispora acidiphila DSM 44928	1949	1.8352511346729692	Actinomycetia
Bacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus jostii	Rhodococcus jostii RHA1	644	0.6064144334168252	Actinomycetia
Bacteria	Proteobacteria	Hyphomicrobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium fredii	Rhizobium NGR234	170	0.16007834422493833	Alphaproteobacteria
Archaea	Euryarchaeota	Methanopyrales	Methanopyraceae	Methanopyrus	Methanopyrus kandleri	Methanopyrus kandleri AV19	648	0.610180982692706	Methanopyri
Archaea	Crenarchaeota	Desulfurococcales	Pyrodictiaceae	Hyperthermus	Hyperthermus butylicus	Hyperthermus butylicus DSM 5456	310	0.2919075688807699	Thermoprotei
Archaea	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Cenarchaeum	Cenarchaeum symbiosum	Cenarchaeum symbiosum B	228	0.21469330872521142	
Archaea	Crenarchaeota	Desulfurococcales	Desulfurococcaceae	Aeropyrum	Aeropyrum pernix	Aeropyrum pernix K1	670	0.6308970037100511	Thermoprotei
Archaea	Candidatus Korarchaeota			Candidatus Korarchaeum	Candidatus Korarchaeum cryptofilum	Candidatus Korarchaeum cryptofilum OPF8	216	0.2033936608975687	
Archaea	Euryarchaeota	Natrialbales	Natrialbaceae	Natrialba	Natrialba magadii	Natrialba magadii ATCC 43099	380	0.35782218120868564	Halobacteria
